targets,texts
1,free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone
0,our prashanthettan's mother passed away last night. pray for her and family.
1,you have 1 new voicemail. please call 08719181503
0,"didn't try, g and i decided not to head out"
0,give one miss from that number please
1,update_now - 12mths half price orange line rental: 400mins...call mobileupd8 on 08000839402 or call2optout=j5q
1,"500 new mobiles from 2004, must go! txt: nokia to no: 89545 & collect yours today!from only £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 txtauction"
0,"you might want to pull out more just in case and just plan on not spending it if you can, i don't have much confidence in derek and taylor's money management"
0,"my life means a lot to me, not because i love my life, but because i love the people in my life, the world calls them friends, i call them my world:-).. ge:-).."
0,do i? i thought i put it back in the box
0,remember on that day..
0,sent me ur email id soon
0,indeed and by the way it was either or - not both !
0,"haha just kidding, papa needs drugs"
0,no gifts!! you trying to get me to throw myself off a cliff or something?
0,she went to attend another two rounds today..but still did't reach home..
0,haha... can... but i'm having dinner with my cousin...
0,total video converter free download type this in google search:)
0,yay! finally lol. i missed our cinema trip last week :-(
0,"good morning, im suffering from fever and dysentry ..will not be able to come to office today."
0,keep my payasam there if rinu brings
0,we can go 4 e normal pilates after our intro...
0,lol ok ill try to send. be warned sprint is dead slow. you'll prolly get it tomorrow
0,honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
0,please dont say like that. hi hi hi
0,k k pa had your lunch aha.
0,watch lor. i saw a few swatch one i thk quite ok. ard 116 but i need 2nd opinion leh...
0,i told that am coming on wednesday.
0,"can you pls pls send me a mail on all you know about relatives coming to deliver here? all you know about costs, risks, benefits and anything else. thanks."
0,yup but not studying surfing lor. i'm in e lazy mode today.
0,hello! how r u? im bored. inever thought id get bored with the tv but i am. tell me something exciting has happened there? anything! =/
0,been up to ne thing interesting. did you have a good birthday? when are u wrking nxt? i started uni today.
1,warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers
0,does uncle timi help in clearing cars
0,ugh. gotta drive back to sd from la. my butt is sore.
0,"same here, but i consider walls and bunkers and shit important just because i never play on peaceful but i guess your place is high enough that it don't matter"
0,"science tells that chocolate will melt under the sunlight. please don't walk under the sunlight. bcoz,i don't want to loss a sweet friend."
0,i dont know why she.s not getting your messages
0,dunno lei... i might b eatin wif my frens... if ü wan to eat then i wait 4 ü lar
0,hahaha..use your brain dear
0,when u wana see it then
0,talk to g and x about that
0,were somewhere on fredericksburg
0,"just sent again. do you scream and moan in bed, princess?"
1,private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 expires 26/11/04
0,ya very nice. . .be ready on thursday
0,please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
1,free top ringtone -sub to weekly ringtone-get 1st week free-send subpoly to 81618-?3 per week-stop sms-08718727870
0,what i told before i tell. stupid hear after i wont tell anything to you. you dad called to my brother and spoken. not with me.
0,hey.. something came up last min.. think i wun be signing up tmr.. hee
0,"i need an 8th but i'm off campus atm, could i pick up in an hour or two?"
0,anything lor... u decide...
1,u have a secret admirer. reveal who thinks u r so special. call 09065174042. to opt out reply reveal stop. 1.50 per msg recd. cust care 07821230901
0,"sorry man, accidentally left my phone on silent last night and didn't check it til i got up"
1,"hack chat. get backdoor entry into 121 chat rooms at a fraction of the cost. reply neo69 or call 09050280520, to subscribe 25p pm. dps, bcm box 8027 ldn, wc1n3xx"
0,i don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
0,what time is ur flight tmr?
0,just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
0,ok... i din get ur msg...
1,"free msg. sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. please top up to receive the service."
0,:-( that's not v romantic!
0,probably gonna swing by in a wee bit
1,"congrats! 2 mobile 3g videophones r yours. call 09063458130 now! videochat wid your mates, play java games, dload polyph music, noline rentl."
0,"i'd say that's a good sign but, well, you know my track record at reading women"
0,s:-)if we have one good partnership going we will take lead:)
0,are you driving or training?
0,msg me when rajini comes.
0,and whenever you and i see we can still hook up too.
1,for your chance to win a free bluetooth headset then simply reply back with adp
0,hey i will be late ah... meet you at 945+
0,hurt me... tease me... make me cry... but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u.. have a nice day bslvyl
0,any way where are you and what doing.
1,"spook up your mob with a halloween collection of a logo & pic message plus a free eerie tone, txt card spook to 8007 zed 08701417012150p per logo/pic"
0,s.i think he is waste for rr..
0,10 min later k...
0,am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
0,don't forget who owns you and who's private property you are ... and be my good boy always .. *passionate kiss*
0,mark works tomorrow. he gets out at 5. his work is by your house so he can meet u afterwards.
1,"this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08718726970 now! only 10p per min. bt-national-rate"
0,but i'm on a diet. and i ate 1 too many slices of pizza yesterday. ugh i'm always on a diet.
0,cramps stopped. going back to sleep
0,he says hi and to get your ass back to south tampa (preferably at a kegger)
0,"i can. but it will tell quite long, cos i haven't finish my film yet..."
0,no screaming means shouting..
0,tell them no need to investigate about me anywhere.
0,really good:)dhanush rocks once again:)
0,yes.he have good crickiting mind
0,you call him now ok i said call him
1,"hottest pics straight to your phone!! see me getting wet and wanting, just for you xx text pics to 89555 now! txt costs 150p textoperator g696ga 18 xxx"
0,"erm... woodland avenue somewhere. do you get the parish magazine, his telephone number will be in there."
0,check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
0,"i had been hoping i would not have to send you this message. my rent is due and i dont have enough for it. my reserves are completely gone. its a loan i need and was hoping you could her. the balance is  &lt;#&gt; . is there a way i could get that from you, till mid march when i hope to pay back."
1,congratulations u can claim 2 vip row a tickets 2 c blu in concert in november or blu gift guaranteed call 09061104276 to claim ts&cs www.smsco.net cost£3.75max
0,should i send you naughty pix? :)
0,i love ya too but try and budget your money better babe. gary would freak on me if he knew
1,please call 08712402902 immediately as there is an urgent message waiting for you.
0,so dont use hook up any how
0,"please protect yourself from e-threats. sib never asks for sensitive information like passwords,atm/sms pin thru email. never share your password with anybody."
0,but i dint slept in afternoon.
0,goodmorning sleeping ga.
0,"some friends want me to drive em someplace, probably take a while"
0,i.ll get there tomorrow and send it to you
0,hey check it da. i have listed da.
0,i miss you so much i'm so desparate i have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. i love you
0,"sorry, i'll call you  later. i am in meeting sir."
1,"ur balance is now £600. next question: complete the landmark, big, a. bob, b. barry or c. ben ?. text a, b or c to 83738. good luck!"
1,congratulations you've won. you're a winner in our august £1000 prize draw. call 09066660100 now. prize code 2309.
0,oic... i saw him too but i tot he din c me... i found a group liao...
0,ok both our days. so what are you making for dinner tonite? am i invited?
0,is there any movie theatre i can go to and watch unlimited movies and just pay once?
0,how much you got for cleaning
0,"yeah, i'll leave in a couple minutes &amp; let you know when i get to mu"
0,yes princess! i want to catch you with my big strong hands...
1,"sms. ac sun0819 posts hello:you seem cool, wanted to say hi. hi!!! stop? send stop to 62468"
0,"now, whats your house # again ? and do you have any beer there ?"
0,why do you ask princess?
0,i got to video tape pple type in message lor. u so free wan 2 help me? hee... cos i noe u wan 2 watch infernal affairs so ask u along. asking shuhui oso.
0,the xmas story is peace.. the xmas msg is love.. the xmas miracle is jesus.. hav a blessed month ahead &amp; wish u merry xmas...
0,hi its in durban are you still on this number
0,take us out shopping and mark will distract isaiah.=d
1,you are a winner u have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
0,have you been practising your curtsey?
0,shall i start from hear.
0,ok. so april. cant wait
0,ok i vl..do u know i got adsense approved..
1,talk sexy!! make new friends or fall in love in the worlds most discreet text dating service. just text vip to 83110 and see who you could meet.
0,"k i'm leaving soon, be there a little after 9"
0,i'll text you when i drop x off
0,i'm done oredi...
0,only 2% students solved this cat question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? tell me the answer if u r brilliant...1thing.i got d answr.
0,dis is yijue. i jus saw ur mail. in case huiming havent sent u my num. dis is my num.
0,&lt;#&gt; ish minutes was 5 minutes ago. wtf.
0,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
0,"good afternoon, my boytoy ... how are you feeling today ? better i hope? are you being my good boy? are you my obedient, slave? do you please your queen?"
0,was the farm open?
1,rgent! this is the 2nd attempt to contact u!u have won £1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. max£7. 50
0,so i could kiss and feel you next to me...
0,"the gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
0,if he started searching he will get job in few days.he have great potential and talent.
0,just taste fish curry :-p
0,did he just say somebody is named tampa
0,when should i come over?
0,yup i've finished c ü there...
0,yes there were many sweets
0,just do what ever is easier for you
0,and i don't plan on staying the night but i prolly won't be back til late
0,"yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
0,well i might not come then...
0,"that's the trouble with classes that go well - you're due a dodgey one … expecting mine tomo! see you for recovery, same time, same place"
0,got it! it looks scrumptious... daddy wants to eat you all night long!
0,wait.i will come out.. &lt;#&gt;  min:)
0,enjoy ur life. . good night
0,my slave! i want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! bright light!
0,crazy ar he's married. ü like gd looking guys not me. my frens like say he's korean leona's fave but i dun thk he is. aft some thinking mayb most prob i'll go.
0,ü no home work to do meh...
0,oh wow thats gay. will firmware update help
0,you could have seen me..i did't recognise you face.:)
0,k:)all the best:)congrats...
0,dear good morning now only i am up
0,how's ur paper?
0,is xy in ur car when u picking me up?
0,yeah sure i'll leave in a min
0,"i know dat feelin had it with pete! wuld get with em , nuther place nuther time mayb?"
0,beautiful truth against gravity.. read carefully: our heart feels light when someone is in it.. but it feels very heavy when someone leaves it.. good night
1,xmas prize draws! we are trying to contact u. todays draw shows that you have won a £2000 prize guaranteed. call 09058094565 from land line. valid 12hrs only
0,*deep sigh* ... i miss you :-( ... i am really surprised you haven't gone to the net cafe yet to get to me ... don't you miss me?
1,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise of£2000 cash 18+only. to opt out txt x to 07786200117
1,freemsg: 1-month unlimited free calls! activate smartcall txt: call to no: 68866. subscriptn3gbp/wk unlimited calls help: 08448714184 stop?txt stop landlineonly
0,k..k:)how much does it cost?
0,good morning my dear........... have a great &amp; successful day.
0,send me the new number
0,we still on for tonight?
0,ok...
0,ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
0,"no, i decided that only people who care about stuff vote and caring about stuff is for losers"
0,i am literally in bed and have been up for like  &lt;#&gt;  hours
0,you are gorgeous! keep those pix cumming :) thank you!
1,urgent! we are trying to contact u. todays draw shows that you have won a £800 prize guaranteed. call 09050001808 from land line. claim m95. valid12hrs only
0,thnx dude. u guys out 2nite?
0,lol ... i knew that .... i saw him in the dollar store
0,i meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night
1,"u've been selected to stay in 1 of 250 top british hotels - for nothing! holiday valued at £350! dial 08712300220 to claim - national rate call. bx526, sw73ss"
0,thanks for loving me so. you rock
0,"do you know why god created gap between your fingers..? so that, one who is made for you comes &amp; fills those gaps by holding your hand with love..!"
0,can you just come in for a sec? there's somebody here i want you to see
0,so are you guys asking that i get that slippers again or its gone with last year
0,never blame a day in ur life. good days give u happiness. bad days give u experience. both are essential in life! all are gods blessings! good morning.:
0,"i'm not coming over, do whatever you want"
0,you got called a tool?
0,that's one of the issues but california is okay. no snow so its manageable
0,yes when is the appt again?
0,oh and by the way you do have more food in your fridge! want to go out for a meal tonight?
0,yeah imma come over cause jay wants to do some drugs
0,yes..gauti and sehwag out of odi series.
0,speaking of does he have any cash yet?
0,"not really dude, have no friends i'm afraid :("
0,"say this slowly.? god,i love you &amp; i need you,clean my heart with your blood.send this to ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
0,alrite sam its nic just checkin that this is ur number-so is it?t.b*
0,hi dude hw r u da realy mising u today
0,"aight i'll grab something to eat too, text me when you're back at mu"
1,"we know someone who you know that fancies you. call 09058097218 to find out who. pobox 6, ls15hb 150p"
0,rofl. its true to its name
0,pls i wont belive god.not only jesus.
0,"my friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
0,should i be stalking u?
0,dun b sad.. it's over.. dun thk abt it already. concentrate on ur other papers k.
0,u should have made an appointment
0,where to get those?
1,from www.applausestore.com monthlysubscription@50p/msg max6/month t&csc web age16 2stop txt stop
0,how do you guys go to see movies on your side.
0,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. not cool at all. please do not contact me again or i will report you to your supervisor.
0,saw guys and dolls last night with patrick swayze it was great
0,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here
0,u r the most beautiful girl ive ever seen. u r my baby come and c me in the common room
0,they will pick up and drop in car.so no problem..
0,i'm also came to room.
0,well i'm going to be an aunty!
0,"hey, i missed you tm of last night as my phone was on the charge ... *smiles* ... i am meeting a friend shortly"
0,and of course you should make a stink!
1,"want to funk up ur fone with a weekly new tone reply tones2u 2 this text. www.ringtones.co.uk, the original n best. tones 3gbp network operator rates apply"
1,win urgent! your mobile number has been awarded with a £2000 prize guaranteed call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
0,hey morning what you come to ask:-) pa...
0,just now saw your message.it k da:)
0,ok then i will come to ur home after half an hour
0,if you're not in my car in an hour and a half i'm going apeshit
0,they just talking thats it de. they wont any other.
0,better. made up for friday and stuffed myself like a pig yesterday. now i feel bleh. but at least its not writhing pain kind of bleh.
1,rct' thnq adrian for u text. rgds vatian
0,dhoni have luck to win some big title.so we will win:)
0,stop calling everyone saying i might have cancer. my throat hurts to talk. i can't be answering everyones calls. if i get one more call i'm not babysitting on monday
1,natalie (20/f) is inviting you to be her friend. reply yes-165 or no-165 see her: www.sms.ac/u/natalie2k9 stop? send stop frnd to 62468
0,yeah if we do have to get a random dude we need to change our info sheets to party  &lt;#&gt; /7 never study just to be safe
0,it is only yesterday true true.
0,hi ....my engagement has been fixd on  &lt;#&gt; th of next month. i know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
1,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or £1000. to claim txt dis to 87121 18+6*£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
0,"sounds gd... haha... can... wah, u yan jiu so fast liao..."
0,"watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?"
0,i'm gonna say no. sorry. i would but as normal am starting to panic about time. sorry again! are you seeing on tuesday?
0,pls confirm the time to collect the cheque.
0,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today."
1,todays voda numbers ending 1225 are selected to receive a £50award. if you have a match please call 08712300220 quoting claim code 3100 standard rates app
0,"gud gud..k, chikku tke care.. sleep well gud nyt"
0,"aight, can you text me the address?"
0,you best watch what you say cause i get drunk as a motherfucker
1,we tried to call you re your reply to our sms for a video mobile 750 mins unlimited text free camcorder reply or call now 08000930705 del thurs
0,don know..he is watching film in computer..
0,ma head dey swell oh. thanks for making my day
0,yeah that'd pretty much be the best case scenario
0,what u mean u almost done? done wif sleeping? but i tot u going to take a nap.. yup i send her liao so i'm picking her up at ard 4 smth lor..
1,this message is free. welcome to the new & improved sex & dogging club! to unsubscribe from this service reply stop. msgs@150p 18+only
0,hey happy birthday...
0,no message..no responce..what happend?
0,hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! hope to see you soon love and kisses xxx
0,how tall are you princess?
0,come aftr  &lt;decimal&gt; ..now i m cleaning the house
0,"fyi i'm at usf now, swing by the room whenever"
0,oh oh... wasted... den muz chiong on sat n sun liao...
1,"this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08712101358 now! only 10p per min. bt-national-rate"
0,yes fine
1,"sms services. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with stop, no extra charge. help 08702840625.comuk. 220-cm2 9ae"
1,"hi babe its jordan, how r u? im home from abroad and lonely, text me back if u wanna chat xxsp visionsms.com text stop to stopcost 150p 08712400603"
1,"want to funk up ur fone with a weekly new tone reply tones2u 2 this text. www.ringtones.co.uk, the original n best. tones 3gbp network operator rates apply"
0,teach me apps da. when you come to college.
0,"ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too."
1,you have won! as a valued vodafone customer our computer has picked you to win a £150 prize. to collect is easy. just call 09061743386
0,onum ela pa. normal than.
0,are you still getting the goods.
0,i can ask around but there's not a lot in terms of mids up here
0,"princess, i like to make love  &lt;#&gt;  times per night. hope thats not a problem!"
0,"sir, you will receive the account no another 1hr time. sorry for the delay."
0,in e msg jus now. u said thanks for gift.
0,how was txting and driving
0,same. wana plan a trip sometme then
0,"nah, wednesday. when should i bring the mini cheetos bag over?"
0,lol alright i was thinkin that too haha
0,hanging out with my brother and his family
0,goodo! yes we must speak friday - egg-potato ratio for tortilla needed!
0,"we made it! eta at taunton is 12:30 as planned, hope that‘s still okday?! good to see you! :-xx"
0,gumby's has a special where a  &lt;#&gt;  cheese pizza is $2 so i know what we're doin tonight
1,guess what! somebody you know secretly fancies you! wanna find out who it is? give us a call on 09065394514 from landline datebox1282essexcm61xn 150p/min 18
0,wif my family booking tour package.
1,t-mobile customer you may now claim your free camera phone upgrade & a pay & go sim card for your loyalty. call on 0845 021 3680.offer ends 28thfeb.t&c's apply
0,r u saying i should re order the slippers cos i had to pay for returning it.
0,whats the staff name who is taking class for us?
0,i have lost 10 kilos as of today!
0,"hmmm.... mayb can try e shoppin area one, but forgot e name of hotel..."
0,i'm watching lotr w my sis dis aft. so u wan 2 meet me 4 dinner at nite a not?
0,"pity, * was in mood for that. so...any other suggestions?"
0,don't think about what u have got think about how to use it that you have got good ni8
0,s...i will take mokka players only:)
0,hey! congrats 2u2. id luv 2 but ive had 2 go home!
0,"dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)"
0,"ta-daaaaa! i am home babe, are you still up ?"
0,so why didnt you holla?
0,babe !!!! i love you !!!! *covers your face in kisses*
0,s:)8 min to go for lunch:)
0,just normal only here :)
1,well done england! get the official poly ringtone or colour flag on yer mobile! text tone or flag to 84199 now! opt-out txt eng stop. box39822 w111wx £1.50
0,you were supposed to wake me up &gt;:(
0,oh ho. is this the first time u use these type of words
0,yup i thk cine is better cos no need 2 go down 2 plaza mah.
0,and by when you're done i mean now
0,so wats ur opinion abt him and how abt is character?
1,u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09065171142-stopsms-08718727870150ppm
1,"eerie nokia tones 4u, rply tone title to 8007 eg tone dracula to 8007 titles: ghost, addamsfa, munsters, exorcist, twilight www.getzed.co.uk pobox36504w45wq 150p"
0,"yeah i think my usual guy's still passed out from last night, if you get ahold of anybody let me know and i'll throw down"
0,jos ask if u wana meet up?
1,"thanks for your ringtone order, reference number x49.your mobile will be charged 4.50. should your tone not arrive please call customer services 09065989182"
0,ok i found dis pierre cardin one which looks normal costs 20 its on sale.
0,yes:)here tv is always available in work place..
0,we not leaving yet. ok lor then we go elsewhere n eat. u thk...
0,hello beautiful r u ok? i've kinda ad a row wiv and he walked out the pub?? i wanted a night wiv u miss u
0,call to the number which is available in appointment. and ask to connect the call to waheed fathima.
0,"sorry light turned green, i meant another friend wanted  &lt;#&gt;  worth but he may not be around"
0,yup i thk they r e teacher said that will make my face look longer. darren ask me not 2 cut too short.
0,free any day but i finish at 6 on mon n thurs...
0,aiyah u did ok already lar. e nydc at wheellock?
0,today i'm not workin but not free oso... gee... thgt u workin at ur fren's shop ?
0,i'm on the bus. love you
1,private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points. to claim call 08719180248 identifier code: 45239 expires
0,"ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online, you arrange shipping and you get a cut. or u????? for a partnership where u????? invest money for shipping and he takes care of the rest!u??wud b self reliant soon dnt worry"
0,what is your record for one night? :)
0,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || very easy"
1,"complimentary 4 star ibiza holiday or £10,000 cash needs your urgent collection. 09066364349 now from landline not to lose out! box434sk38wp150ppm18+"
1,"latest nokia mobile or ipod mp3 player +£400 proze guaranteed! reply with: win to 83355 now! norcorp ltd.£1,50/mtmsgrcvd18+"
0,thank you. do you generally date the brothas?
0,oh is it! which brand?
0,i'm wif him now buying tix lar...
1,"your free ringtone is waiting to be collected. simply text the password mix to 85069 to verify. get usher and britney. fml, po box 5249, mk17 92h. 450ppw 16"
0,like a personal sized or what
0,pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
0,yun ah.now ü wkg where?btw if ü go nus sc. ü wana specialise in wad?
0,"night has ended for another day, morning has come in a special way. may you smile like the sunny rays and leaves your worries at the blue blue bay. gud mrng"
0,thanks a lot for your wishes on my birthday. thanks you for making my birthday truly memorable.
0,"tonight? yeah, i'd be down for that"
0,would me smoking you out help us work through this difficult time
0,hey pple...$700 or $900 for 5 nights...excellent location wif breakfast hamper!!!
0,oops sorry. just to check that you don't mind picking me up tomo at half eight from station. would that be ok?
0,* am on my way
0,no de. but call me after some time. ill tell you k
0,"the guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. i'm nervous because of course now he may have my address. should i call his boss and tell him, knowing this may get him fired?"
0,"sorry, i'll call later"
0,hey tmr meet at bugis 930 ?
1,"shop till u drop, is it you, either 10k, 5k, £500 cash or £100 travel voucher, call now, 09064011000. ntt po box cr01327bt fixedline cost 150ppm mobile vary"
0,k do i need a login or anything
0,"painful words- i thought being happy was the most toughest thing on earth... but, the toughest is acting happy with all unspoken pain inside.."
0,i hope your pee burns tonite.
0,i'm reaching home in 5 min.
0,ok then i will come to ur home after half an hour
0,"awesome, lemme know whenever you're around"
0,don no da:)whats you plan?
0,miserable. they don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. i didn't sleep at all last night.
0,hey no i ad a crap nite was borin without ya 2 boggy with me u boring biatch! thanx but u wait til nxt time il ave ya
0,"i think i‘m waiting for the same bus! inform me when you get there, if you ever get there."
1,"upgrdcentre orange customer, you may now claim your free camera phone upgrade for your loyalty. call now on 0207 153 9153. offer ends 26th july. t&c's apply. opt-out available"
0,lol! oops sorry! have fun.
1,"in the simpsons movie released in july 2007 name the band that died at the start of the film? a-green day, b-blue day, c-red day. (send a, b or c)"
0,"we are hoping to get away by 7, from langport. you still up for town tonight?"
0,dunno lei he neva say...
0,"wat time liao, where still got."
0,great. have a safe trip. dont panic surrender all.
0,i am in escape theatre now. . going to watch kavalan in a few minutes
0,alright took the morphine. back in yo.
0,my phone
0,still in customer place
0,ugh my leg hurts. musta overdid it on mon.
1,new textbuddy chat 2 horny guys in ur area 4 just 25p free 2 receive search postcode or at gaytextbuddy.com. txt one name to 89693. 08715500022 rpl stop 2 cnl
0,i think asking for a gym is the excuse for lazy people. i jog.
0,mum not going robinson already.
0,"aight, you close by or still down around alex's place?"
1,romcapspam everyone around should be responding well to your presence since you are so warm and outgoing. you are bringing in a real breath of sunshine.
0,in da car park
0,you busy or can i come by at some point and figure out what we're doing tomorrow
0,"no, but you told me you were going, before you got drunk!"
0,thanx...
0,then we gotta do it after that
0,today iz yellow rose day. if u love my frndship give me 1 misscall &amp; send this to ur frndz &amp; see how many miss calls u get. if u get 6missed u marry ur lover.
0,i am on the way to ur home
0,what happen dear. why you silent. i am tensed
0,wat would u like 4 ur birthday?
0,not enufcredeit tocall.shall ileave uni at 6 +get a bus to yor house?
0,"i got like $ &lt;#&gt; , i can get some more later though. get whatever you feel like"
0,dont gimme that lip caveboy
0,captain is in our room:)
0,later i guess. i needa do mcat study too.
1,"hi ya babe x u 4goten bout me?' scammers getting smart..though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. other nos used also. beware!"
0,hey are we going for the lo lesson or gym?
0,ok set let u noe e details later...
0,i see. when we finish we have loads of loans to pay
0,ay wana meet on sat?ü wkg on sat?
